artist,song_title,year,artist_genre,youtube_link,imvdb_url
Live,Lightning Crashes,1994,Desconhecido,https://www.youtube.com/watch?v=xsJ4O-nSveg,https://imvdb.com/video/live/lightning-crashes
The Lemonheads,It's About Time,1994,Desconhecido,https://www.youtube.com/watch?v=u09SRUOvy54,https://imvdb.com/video/the-lemonheads/its-about-time
Fish,Lady Let It Lie,1994,Desconhecido,,https://imvdb.com/video/fish/lady-let-it-lie
Blur,Girls and Boys,1994,Desconhecido,https://www.youtube.com/watch?v=WDswiT87oo8,https://imvdb.com/video/blur/girls-and-boys
Aerosmith,Janie's Got A Gun,1994,Desconhecido,https://www.youtube.com/watch?v=RqQn2ADZE1A,https://imvdb.com/video/aerosmith/janies-got-a-gun
Céline Dion,Misled,1994,Desconhecido,https://www.youtube.com/watch?v=c1vuzMuOF7g,https://imvdb.com/video/celine-dion/misled
Eve's Plum,Die Like Someone,1994,Desconhecido,https://www.youtube.com/watch?v=preBGfeFLDk,https://imvdb.com/video/eves-plum/die-like-someone
Sponge (3),Plowed,1994,Desconhecido,https://www.youtube.com/watch?v=wmRxuIajC5g,https://imvdb.com/video/sponge-3/plowed
Mary J. Blige,Be Happy,1994,Desconhecido,https://www.youtube.com/watch?v=BvGbmEuV_lA,https://imvdb.com/video/mary-j.-blige/be-happy
Xscape,Who's That Man?,1994,Desconhecido,https://www.youtube.com/watch?v=jPyx9fAVvjc,https://imvdb.com/video/xscape/whos-that-man
Kylie Minogue,Confide In Me,1994,Desconhecido,https://www.youtube.com/watch?v=WSFDCmmsqEI,https://imvdb.com/video/kylie-minogue/confide-in-me
Jaki Graham,Ain't Nobody,1994,Desconhecido,https://www.youtube.com/watch?v=-o5SeTGY1E0,https://imvdb.com/video/jaki-graham/aint-nobody
Weezer,Undone (The Sweater Song),1994,Desconhecido,https://www.youtube.com/watch?v=LHQqqM5sr7g,https://imvdb.com/video/weezer/undone-the-sweater-song
Kenny Chesney,Me And You,1994,Desconhecido,https://www.youtube.com/watch?v=riuXdXAOArY,https://imvdb.com/video/kenny-chesney/me-and-you
R. Kelly,Bump N' Grind,1994,Desconhecido,https://www.youtube.com/watch?v=uAXxkNaRkp8,https://imvdb.com/video/r.-kelly/bump-n-grind
Onyx,Judgment Night,1994,Desconhecido,https://www.youtube.com/watch?v=9qc1zJmgfW4,https://imvdb.com/video/onyx/judgment-night
Warren G,So Many Ways,1994,Desconhecido,https://www.youtube.com/watch?v=z0PBmqJ3XPI,https://imvdb.com/video/warren-g/so-many-ways
2 Low,Funky Lil Brotha,1994,Desconhecido,https://www.youtube.com/watch?v=UAprQtiB55M,https://imvdb.com/video/2-low/funky-lil-brotha
Soundgarden,Fell On Black Days,1994,Desconhecido,https://www.youtube.com/watch?v=ySzrJ4GRF7s,https://imvdb.com/video/soundgarden/fell-on-black-days
The Offspring,Self Esteem,1994,Desconhecido,https://www.youtube.com/watch?v=CkFH0KMO0G0,https://imvdb.com/video/the-offspring/self-esteem
M People,Excited,1994,Desconhecido,https://www.youtube.com/watch?v=x3D_zHTDPMw,https://imvdb.com/video/m-people/excited/2
Too Short,Paystyle,1994,Desconhecido,https://www.youtube.com/watch?v=BravsGEEcsc,https://imvdb.com/video/too-short/paystyle
Nine Inch Nails,Burn,1994,Desconhecido,,https://imvdb.com/video/nine-inch-nails/burn
Joe Christmas,Coupleskate,1994,Desconhecido,https://www.youtube.com/watch?v=CVjeU-LeLY0,https://imvdb.com/video/joe-christmas/coupleskate
Pavement,Cut Your Hair,1994,Desconhecido,https://www.youtube.com/watch?v=QTTgpTeb0Z8,https://imvdb.com/video/pavement/cut-your-hair
Opera IX,Born In The Grave,1994,Desconhecido,https://www.youtube.com/watch?v=8em9NESSEDE,https://imvdb.com/video/opera-ix/born-in-the-grave
Fugees,Boof Baf,1994,Desconhecido,https://www.youtube.com/watch?v=uNTCoxd26mw,https://imvdb.com/video/fugees/boof-baf
